grp_id,ctry
95868090,"J"
95868099,"J"
95868108,"J"
95868117,"J"
95868119,"J"
95868121,"J"
95868123,"J"
95868125,"J"
95868127,"J"
95868304,"J"
95868306,"J"
95868308,"J"
95868310,"J"
95868312,"J"
95868314,"J"
95868316,"J"
95868318,"J"
95868358,"AFG"
95868358,"AUS"
95868358,"IND"
95868358,"INS"
95868358,"J"
95868358,"THA"
95873805,"GUM"
95873807,"GUM"
95873838,"GUM"
95873840,"GUM"
95873850,"XAX"
95873855,"XAX"
95873861,"XAX"
95873867,"XAX"
95873871,"XAX"
95873883,"XAX"
95873899,"XAX"
95873915,"XAX"
95873933,"XAX"
95875300,"J"
95875318,"J"
95875444,"J"
95875451,"J"
95875458,"J"
95875465,"J"
95875471,"J"
95875477,"J"
95876702,"J"
95876900,"J"
95876901,"J"
95876902,"J"
95876903,"J"
95876904,"J"
95876905,"J"
95877062,"XR2"
95877063,"XR1"
95877072,"XAX"
95877073,"XR2"
95877074,"XR1"
95877075,"XAX"
95877076,"XR2"
95877077,"XR1"
95877078,"XAX"
95877079,"XR2"
95877080,"XR1"
96600236,"AUS"
96600236,"BEL"
96600236,"D"
96600236,"GUF"
96600236,"KEN"
96600242,"AUS"
96600242,"BEL"
96600242,"D"
96600242,"GUF"
96600242,"KEN"
96612290,"USA"
96612292,"HWA"
96612294,"GUM"
96886234,"XAX"
96886238,"XAX"
96886240,"XAX"
96886244,"XAX"
96886246,"XAX"
96886250,"XAX"
96886256,"XAX"
96886262,"XAX"
96886399,"G"
96886401,"USA"
96886403,"AUS"
96886405,"E"
96886411,"G"
96886413,"USA"
96886415,"AUS"
96886417,"E"
96890533,"XAA"
96907743,"XR1"
96907745,"XR3"
96907747,"XR1"
96907749,"XR3"
96907751,"XR3"
96907753,"XR1"
96907755,"XR1"
96907757,"XR3"
96907759,"XR1"
96907761,"XR3"
96907803,"XR1"
96907805,"XR3"
96907807,"XR1"
96907809,"XR3"
96907811,"XR1"
96907813,"XR3"
96907815,"XR1"
96907817,"XR3"
96907819,"XR1"
96907821,"XR3"
96907823,"XR1"
96907825,"XR3"
96907827,"XR1"
96907829,"XR3"
96907951,"XR1"
96908025,"XR1"
96908027,"XR1"
96908219,"MWM"
96908221,"MWM"
96908223,"MWM"
96908225,"MWM"
96908227,"MWM"
96908233,"MWM"
96928537,"XAA"
96928539,"XAA"
96928549,"XAA"
96928560,"XAA"
96928563,"XAA"
96928568,"XAA"
96928575,"XAA"
96928579,"XAA"
96929993,"ALS"
96929993,"GUM"
96929993,"HWA"
96929993,"USA"
96929996,"MWM"
96930055,"MWM"
96930076,"XAX"
96930079,"XAX"
96931108,"XR2"
96931110,"XR2"
96931112,"XAX"
96933518,"ARG"
96933684,"ARG"
96933921,"XAX"
96933923,"XAX"
96933925,"XAX"
96933927,"XAX"
96933929,"XAX"
96933931,"XAX"
96933933,"XAX"
96933935,"XAX"
96933937,"XAX"
96933939,"XAX"
96933941,"XAX"
96933943,"XAX"
96933945,"XAX"
96933947,"XAX"
96933949,"XAX"
96933951,"XAX"
96953672,"F"
96953674,"ALS"
96953676,"USA"
96953678,"XAA"
96953680,"XAA"
96953682,"F"
96953684,"ALS"
96953686,"USA"
96953722,"USA"
96953724,"USA"
96953726,"USA"
96953728,"USA"
96953734,"USA"
96953736,"HWA"
96953738,"USA"
96953740,"HWA"
96953746,"USA"
96953748,"HWA"
96953750,"USA"
96953752,"HWA"
96953757,"XAX"
96953760,"XAX"
96953774,"XAX"
96953776,"XAX"
96953778,"XAX"
96953915,"XAX"
96953924,"XR3"
96953926,"XR3"
96953928,"XR3"
96953933,"XR1"
96953935,"XR3"
96953937,"XR1"
96953939,"XR3"
96953941,"XR1"
96953943,"XR3"
96953950,"XR1"
96953953,"XR3"
96953955,"XR1"
96953957,"XR3"
96953959,"XR1"
96953961,"XR3"
96953963,"XR1"
96953965,"XR3"
96953967,"XR1"
96953969,"XR3"
96955161,"XR2"
96955178,"XR2"
96955203,"XR2"
96955214,"XR2"
96955235,"XR2"
96955252,"XR2"
96955276,"XR2"
96955299,"XR2"
96955307,"XR2"
96955309,"XR2"
96955319,"XR2"
96955322,"XR2"
96955355,"XR2"
96955363,"XR2"
96955366,"XR2"
96955379,"XR2"
96955381,"XR2"
96955395,"XR2"
96955398,"XR2"
96955431,"XR2"
96955435,"XR2"
96956156,"XR2"
96957324,"GUM"
96957324,"HWA"
96957324,"USA"
96957325,"ALS"
96957325,"GUM"
96957325,"HWA"
96957325,"USA"
96957326,"ALS"
96957326,"GUM"
96957326,"HWA"
96957326,"USA"
96957327,"GUM"
96957327,"HWA"
96957327,"USA"
96957333,"XR1"
96957333,"XR3"
96957334,"XR1"
96957334,"XR3"
96957406,"XR2"
96957409,"XR2"
96957413,"XR2"
96957417,"XR2"
96957420,"XR2"
96957424,"XR2"
96957427,"XR2"
96957431,"XR2"
96957434,"XR2"
96957438,"XR2"
96957443,"XR2"
96957447,"XR2"
96957453,"XR2"
96957457,"XR2"
96957473,"XR2"
96957477,"XR2"
96957576,"XR2"
97949249,"J"
97949260,"J"
97949271,"J"
97949282,"J"
97958393,"XAA"
97958408,"XAA"
97958423,"XAA"
97958431,"XAA"
97958443,"XAA"
97958448,"XAA"
97958453,"XAA"
97958458,"XAA"
97958463,"XAA"
97958477,"XAA"
97958491,"XAA"
97958493,"XAA"
97958495,"XAA"
97958503,"XAA"
97958511,"XAA"
97958517,"XAA"
97958535,"ARG"
97958535,"AUS"
97958535,"BEL"
97958535,"CNR"
97958535,"E"
97958535,"GUF"
97958535,"USA"
97958537,"ARG"
97958537,"AUS"
97958537,"BEL"
97958537,"CNR"
97958537,"E"
97958537,"GUF"
97958537,"USA"
97965203,"IND"
97965206,"IND"
97965209,"IND"
97965212,"IND"
97965215,"IND"
97965218,"IND"
97965221,"IND"
97965224,"IND"
97965227,"IND"
97965230,"IND"
97965233,"IND"
97965236,"IND"
97965239,"IND"
97965242,"IND"
97965245,"IND"
97965248,"IND"
97965251,"IND"
97965254,"IND"
97965257,"IND"
97965260,"IND"
97965263,"IND"
97965268,"IND"
97965273,"IND"
97965278,"IND"
97965283,"IND"
97965288,"IND"
97965293,"IND"
97965298,"IND"
97965303,"IND"
97965308,"IND"
97965313,"IND"
97965318,"IND"
97965323,"IND"
97965328,"IND"
97965333,"IND"
97965338,"IND"
97965343,"IND"
97965348,"IND"
97965353,"IND"
97965358,"IND"
97965363,"IND"
97965366,"IND"
97965369,"IND"
97965372,"IND"
97965375,"IND"
97965378,"IND"
97965381,"IND"
97965384,"IND"
97965387,"IND"
97965390,"IND"
97965393,"IND"
97965396,"IND"
97965399,"IND"
97965402,"IND"
97965405,"IND"
97965408,"IND"
97965411,"IND"
97965414,"IND"
97965417,"IND"
97965420,"IND"
97965423,"IND"
97965428,"IND"
97965433,"IND"
97965438,"IND"
97965443,"IND"
97965448,"IND"
97965453,"IND"
97965458,"IND"
97965463,"IND"
97965468,"IND"
97965473,"IND"
97965478,"IND"
97965483,"IND"
97965488,"IND"
97965493,"IND"
97965498,"IND"
97965503,"IND"
97965508,"IND"
97965513,"IND"
97965518,"IND"
97966102,"AUS"
97966102,"E"
97966102,"USA"
97966104,"AUS"
97966104,"E"
97966104,"USA"
97966106,"IND"
97966109,"IND"
97966112,"IND"
97966115,"IND"
97966118,"IND"
97966121,"IND"
97966124,"IND"
97966127,"IND"
97966130,"IND"
97966133,"IND"
97966136,"IND"
97966139,"IND"
97966142,"IND"
97966145,"IND"
97966148,"IND"
97966151,"IND"
97966154,"IND"
97966157,"IND"
97966160,"IND"
97966163,"IND"
97966166,"IND"
97966171,"IND"
97966176,"IND"
97966181,"IND"
97966186,"IND"
97966191,"IND"
97966196,"IND"
97966201,"IND"
97966206,"IND"
97966211,"IND"
97966216,"IND"
97966221,"IND"
97966226,"IND"
97966231,"IND"
97966236,"IND"
97966241,"IND"
97966246,"IND"
97966251,"IND"
97966256,"IND"
97966261,"IND"
97966266,"IND"
97966269,"IND"
97966272,"IND"
97966275,"IND"
97966278,"IND"
97966281,"IND"
97966284,"IND"
97966287,"IND"
97966290,"IND"
97966293,"IND"
97966296,"IND"
97966299,"IND"
97966302,"IND"
97966305,"IND"
97966308,"IND"
97966311,"IND"
97966314,"IND"
97966317,"IND"
97966320,"IND"
97966323,"IND"
97966326,"IND"
97966331,"IND"
97966336,"IND"
97966341,"IND"
97966346,"IND"
97966351,"IND"
97966356,"IND"
97966361,"IND"
97966366,"IND"
97966371,"IND"
97966376,"IND"
97966381,"IND"
97966386,"IND"
97966391,"IND"
97966396,"IND"
97966401,"IND"
97966406,"IND"
97966411,"IND"
97966416,"IND"
97966421,"IND"
97979942,"XR2"
97979942,"XR3"
97979944,"XR2"
97979944,"XR3"
97980036,"XR2"
97980036,"XR3"
97980038,"XR2"
97980038,"XR3"
97980114,"XR1"
97980116,"XR1"
97980118,"XR1"
97980120,"XR2"
97980120,"XR3"
97980122,"XR1"
97980124,"XR2"
97980124,"XR3"
97980126,"XR1"
97980128,"XR1"
97980130,"XR2"
97980130,"XR3"
97980132,"XR1"
97980134,"XR1"
97980136,"XR2"
97980136,"XR3"
97980138,"XR1"
97980140,"XR2"
97980140,"XR3"
97980182,"XR1"
97980184,"XR1"
97980186,"XR2"
97980186,"XR3"
97980188,"XR1"
97980214,"XR1"
97980216,"XR2"
97980216,"XR3"
97980218,"XR1"
97980220,"XR1"
97980222,"XR2"
97980222,"XR3"
97980224,"XR1"
97980226,"XR1"
97980228,"XR2"
97980228,"XR3"
97980230,"XR1"
97980232,"XR1"
97980234,"XR2"
97980234,"XR3"
97980236,"XR1"
97980238,"XR1"
97980240,"XR2"
97980240,"XR3"
97980242,"XR1"
97980244,"XR2"
97980244,"XR3"
97985042,"ALS"
97985042,"AUS"
97985042,"BER"
97985042,"E"
97985042,"NOR"
97985042,"USA"
97985052,"ALS"
97985052,"AUS"
97985052,"BER"
97985052,"E"
97985052,"NOR"
97985052,"USA"
97985056,"XR1"
97985056,"XR3"
97985058,"XR1"
97985058,"XR3"
97985060,"XR1"
97985060,"XR3"
97985573,"XR1"
97985574,"XR1"
97985575,"XR1"
97985576,"XR1"
97985617,"XR1"
97985620,"XR1"
97985621,"XR1"
97985622,"XR1"
97985623,"XR1"
97985624,"XR1"
97985633,"XR1"
97985634,"XR1"
97985635,"XR1"
97985636,"XR1"
97985637,"XR1"
97985640,"XR1"
97985641,"XR1"
97985642,"XR1"
97985647,"XR1"
97985648,"XR1"
97987189,"XR1"
97987190,"XR1"
97987198,"XR1"
97987199,"XR1"
97987234,"XR1"
97987235,"XR1"
97987241,"XR1"
97987242,"XR1"
97987443,"XR2"
97987444,"XR2"
97987445,"XR2"
97987554,"XR1"
97987555,"XR1"
97987563,"XR1"
97987564,"XR1"
97987599,"XR1"
97987600,"XR1"
97987606,"XR1"
97987607,"XR1"
97988890,"XR2"
97988890,"XR3"
97988891,"XR2"
97988891,"XR3"
97988892,"XR2"
97988892,"XR3"
97988893,"XR2"
97988893,"XR3"
97988894,"XR2"
97988894,"XR3"
97988895,"XR2"
97988895,"XR3"
97988896,"XR2"
97988896,"XR3"
97988897,"XR2"
97988897,"XR3"
97989143,"VEN"
97989143,"XR3"
97989148,"VEN"
97989148,"XR3"
97989153,"VEN"
97989153,"XR3"
97989158,"VEN"
97989158,"XR3"
97989272,"XR2"
97989272,"XR3"
97989273,"XR2"
97989273,"XR3"
97989274,"XR2"
97989274,"XR3"
97989275,"XR2"
97989275,"XR3"
97989276,"XR2"
97989276,"XR3"
97989277,"XR2"
97989277,"XR3"
97989278,"XR2"
97989278,"XR3"
97989279,"XR2"
97989279,"XR3"
98093145,"AUS"
98093145,"E"
98093145,"USA"
98093147,"AUS"
98093147,"E"
98093147,"USA"
98093149,"AUS"
98093149,"E"
